author,channel,cid,heart,photo,text,time,votes
daum m Totong,UC9QdicNP1NWXMEGRd6ArNJQ,Ugz3cxiVNLL4zYEsAzJ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSV8_mQYH31UTCSi3lqwAkPr5fTa3h3EDddZmGfhQ=s176-c-k-c0x00ffffff-no-rj,Ganteng sekali tampilan mobile ini Om ... Like,1 month ago,0
Cipto Hendrawan,UCe12EiLIbKEvFtUMoQwE2TQ,UgziG--DBB1YYuAU5P14AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQuwsBjXCx9wj6F9nag7LvtUUy3O8ZE9DvmaQ=s176-c-k-c0x00ffffff-no-rj,Terimakasih om semakin yakin buat beli.,1 month ago,0
Raiden,UCMZCEt0LZRA4G9lYORb17PQ,UgwOKgOCvFp5kpUgQ7d4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLT9Ihf6DZFk2TTTAb8acL4qhpL-VRJaADgVOdQsbQ=s176-c-k-c0x00ffffff-no-rj,Cup holder bisa buat coca cola ukuran besar gak om? 🤣,1 month ago,0
Atiqah channel,UCPXX33RiqESdbff44LJEWbg,Ugy-KnhMGsCm_BO2FVd4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSge-KJhctxZ3rQXzLvI3_g0XdBi7fkfWELOFKM=s176-c-k-c0x00ffffff-no-rj,“Kapal Api Signature”.,1 month ago,0
Muhammad Reza Pahlevy,UCTY-c9GfJpECjXkNMPZ8IPA,UgyS7KQye_teR3HOPnx4AaABAg.9UjL5f4cKu89Uk8iF8E60E,0.0,https://yt3.ggpht.com/n7UcIZ4K_Y9VuZV7cWjbTZQw16fXc32l9yvj7eQUvqBWCnoXi7Fcsqmazj34muUDtuBZvUki=s176-c-k-c0x00ffffff-no-rj,"Tapi emg bener sih kalo settings MiD gitu apalagi pas lagi jalan rada gmn gt hahaha, ya oke lah kalo buat alasan safety mah yak ekekekek 🤣.",11 days ago,0
Dewi R_Tunas Toyota Pecenongan,UCy7mSK9DzUe1lorC0WpmcWA,UgziG--DBB1YYuAU5P14AaABAg.9Tp_jp1qt9E9U45-NwVS57,0.0,https://yt3.ggpht.com/xdPUT0HNggvC3VQ4limsANkGyHB5oSPndYd0-Aj17xM-BtEZ0Hwtjoz5Civm7HVeUL3-L6JvZg=s176-c-k-c0x00ffffff-no-rj,Halo kak bisa dibantu untuk info dan pemesanan mobil Toyota nya dengan saya. Makasih 😊🙏,4 weeks ago,0
Zulkhaery Basrul,UCvTjLSG2pPWglZ_2uPPEW0g,UgwYK5srZT07yXDWvCR4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLRnNufNIQD-QJfyHgWNvQh50wZC9gK4oOz5vXko2g=s176-c-k-c0x00ffffff-no-rj,Bayi Fortuner,1 month ago,0
DZNart,UCF3wnDui9YT1uz2NsB3XBkQ,UgwrhZOldC7QLExhEaZ4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQZUg0JD013xpG_zX4VqewGC7pDH5GIvKuOHph2Ew=s176-c-k-c0x00ffffff-no-rj,Istri yg tertarik dengan mobil ini ❤️. semoga bisa terbeli yah bund.,1 month ago,0
Andree August,UCT6GBkgUh4brb04nYLoNz5Q,UgxkNi1-yyJNu-G5c194AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLSn4UroDuEEEqrFnp1TB9QjfKSBuH-FLLq96Syw4A=s176-c-k-c0x00ffffff-no-rj,Modelnya bagus cuman sayang mesin cuman 1000cc,1 month ago,0
Renov Matheus,UCBpNjU48uvwmaGPrTDjcScg,Ugy17DH9Ru1kNG8hlJV4AaABAg,0.0,https://yt3.ggpht.com/ytc/AKedOLQx4Cfo7fEOnrPWOYyrpUevXB2N54HKBC-nKBnIIw=s176-c-k-c0x00ffffff-no-rj,Sama avanza enak mana om ?,1 month ago,0
